Key,en,id,es,pt,sw,fr,mg
pages.assessments.personResponsibleRoles.10,Non-profit staff,Staf organisasi nirlaba,Personal sin fines de lucro,Pessoal de ONGs,Wafanyakazi wasio wa faida,Personnel d'une organisation à but non lucratif,Mpiasa amin'ny fikambanana tsy mitady tombontsoa ara-bola
pages.assessments.personResponsibleRoles.20,Managed area manager,Manajer kawasan yang dikelola,Responsable del área gestionada,Gerente de área gerenciada,Meneja wa eneo linalosimamiwa,Gérant de la zone sous gestion,Mpitantana ny faritra tantanana
pages.assessments.personResponsibleRoles.30,Managed area personnel,Personel kawasan yang dikelola,Personal del área gestionada,Pessoal da área gerenciada,Wafanyikazi wa eneo linalosimamiwa,Personnel de la zone sous gestion,Mpiasa ao amin'ny faritra tantanana
pages.assessments.personResponsibleRoles.40,Government personnel,Personel pemerintah,Personal gubernamental,Pessoal do governo,Wafanyakazi wa serikali,Personnel de l'État,Mpiasan'ny Fanjakana
pages.assessments.personResponsibleRoles.50,Members of local community or indigenous committees,Anggota komunitas lokal atau komite adat,Miembros de comités comunitarios o indígenas locales.,Membros da comunidade local ou de comitês indígenas,Wanachama wa jumuiya za mitaa au kamati za kiasili,Membres des communautés locales ou comités autochtones,Mpikambana ao amin'ny fiaraha-monina eo an-toerana na komity zafintany.
pages.assessments.personResponsibleRoles.60,Community leaders or representatives,Pemimpin atau perwakilan komunitas,Líderes o representantes de la comunidad,Líderes ou representantes comunitários,Viongozi wa jumuiya au wawakilishi,Dirigeants ou représentants de la communauté,Mpitarika na solotenan'ny fiaraha-monina
pages.assessments.popup.answer-1,Go to assessments,Pergi ke penilaian,Ir a evaluaciones,Ir para avaliações,Nenda kwa tathmini,Accéder aux évaluations,Hiditra ao amin'ny fanombanana
pages.assessments.popup.answer-2,Create an assessment,Buat penilaian,Crear una evaluación,Crie uma avaliação,Tengeneza tathmini,Créer une évaluation,Hamorona fanombanana
pages.assessments.popup.label,Don’t show this initial modal screen again,Jangan tampilkan layar modal awal ini lagi,No volver a mostrar esta pantalla modal inicial,Não mostre esta tela modal inicial novamente,Usionyeshe skrini hii ya awali tena,FAUX,DISO
pages.assessments.popup.question,What can I do from here?,Apa yang bisa saya lakukan dari sini?,¿Qué puedo hacer desde aquí?,O que posso fazer a partir daqui?,Ninaweza kufanya nini kutoka hapa?,Que puis-je faire à partir d'ici ?,Inona no azoko atao manomboka eto?
pages.assessments.popup.step-1.li-1,Through a facilitated focus group with different stakeholders involved in and affected by the MA,Melalui diskusi kelompok terfokus yang difasilitasi dengan berbagai pemangku kepentingan yang terlibat dan terpengaruh oleh KA,A través de un grupo focal facilitado con diferentes los titulares de derechos y otros actores involucradas y afectadas por la AG,Através de um grupo focal facilitado com diferentes detentores de direitos e outros atores envolvidas e afetadas pela Área de Manejo.,Kupitia kikundi cha kuzingatia kilichowezeshwa chenye wenye haki tofauti na wahusika wengine wanaohusika na kuathiriwa na MA,Par le biais d'un groupe de discussion animé avec différentes parties prenantes impliquées et affectées par la zone sous gestion,Amin'ny alalan'ny dinika entanina anaty vondrona iarahana amin'ireo mpisehatra tafiditra sy voakasiky ny faritra tantanana.
pages.assessments.popup.step-1.li-2,"As a desk-based assessment led by for example, a conservation practitioner or a site manager.","Sebagai penilaian berbasis meja yang dipimpin misalnya, oleh praktisi konservasi atau manajer situs.","Como una evaluación documental dirigida, por ejemplo, por un profesional de la conservación o un administrador de sitio.","Como uma avaliação documental liderada, por exemplo, por um conservacionista ou um gestor do sítio.","Kama tathmini inayotegemea dawati inayoongozwa na kwa mfano, mtaalamu wa uhifadhi au msimamizi wa tovuti.",Il s'agit d'une évaluation documentaire menée par exemple par un professionnel de la conservation ou un gestionnaire de site.,"Ity dia fanombanana amin'ny alalan'ny antontan-kevitra ataon'ny matihanina amin'ny fiarovana, ohatra, na mpitantana toerana."
pages.assessments.popup.step-1.text,Elinor can be completed in one of two ways:,Elinor dapat diselesaikan dengan dua cara:,Elinor se puede completar de dos maneras:,Elinor pode ser completada de duas maneiras:,Elinor inaweza kukamilika kwa moja ya njia mbili:,Elinor peut être complétée de l'une des deux manières suivantes :,Misy fomba roa ahafana mameno an'i Elinor
pages.assessments.popup.step-1.title,Choose your pathway for data collection,Pilih jalur Anda untuk pengumpulan data,Elija su camino para la recopilación de datos,Escolha seu caminho para coleta de dados,Chagua njia yako ya kukusanya data,Choisissez votre méthode de collecte de données,Safidio ny fomba anangonanao angon-drakitra.
pages.assessments.popup.step-2.text,"Complete the information related to the assessment, such as the institutions involved. If you selected “Facilitated focus group discussion” as the data collection method, you will also be asked to specify the number of people consulted.","Lengkapi informasi yang berkaitan dengan PENILAIAN, seperti jumlah orang yang dikonsultasikan atau lembaga terkait","Completar la información relacionada con la EVALUACIÓN, como el número de personas consultadas o instituciones relacionadas","Preencha as informações relacionadas à AVALIAÇÃO, como número de pessoas consultadas ou instituições vinculadas","Kamilisha maelezo yanayohusiana na TATHMINI, kama vile idadi ya watu walioshauriwa au taasisi zinazohusiana","Remplissez les renseignements relatifs à l'ÉVALUATION, comme le nombre de personnes consultées ou d'institutions connexes","Fenoy ny mombamomba ny FANOMBANANA, toy ny isan'ny olona nifampidinika na ny fikambanana mifandraika."
pages.assessments.popup.step-2.title,Assessment Data,Data Penilaian,Datos de evaluación,Dados de avaliação,Data ya Tathmini,Données d'évaluation,Angon-drakitra fanombanana.
pages.assessments.popup.step-3.text,"Identify the Management Area, its belonging to some PA and upload the shape or draw on the map its location.","Identifikasi Kawasan yang Dikelola, keanggotaannya pada PA tertentu dan unggah bentuk atau gambar lokasinya di peta.","Identificar el Área de Manejo, su pertenencia a alguna AP y cargar la forma o dibujar en el mapa su ubicación.","Identifique a Área de Manejo, pertença a alguma UC e carregue a forma ou desenhe no mapa a sua localização.","Tambua Eneo la Usimamizi, ambalo ni mali ya PA fulani na upakie umbo au chora kwenye ramani eneo lake.","Identifiez la zone sous gestion, son appartenance à une aire protégée et téléversez la forme ou dessinez sur la carte son emplacement.","Fantaro ny faritra tantanana, ny fifandraisany amin'ny faritra arovana, ary ampidiro ny endriny na farito eo amin'ny sarintany ny toerana misy azy."
pages.assessments.popup.step-3.title,Management Area,Kawasan yang Dikelola,Área de Gestión,Área de Manejo,Eneo la Usimamizi,Zone sous gestion,Faritra fitantanana
pages.assessments.popup.step-4.text,Answer the questions from the Survey. You can select those attributes that are relevant to your Assessment,Jawab pertanyaan dari Survei. Anda dapat memilih atribut-atribut yang relevan dengan Penilaian Anda,Responda las preguntas de la Encuesta. Puede seleccionar aquellos atributos que sean relevantes para su evaluación.,Responda às perguntas da Pesquisa. Você pode selecionar os atributos que são relevantes para sua avaliação,Jibu maswali kutoka kwa Utafiti. Unaweza kuchagua sifa hizo ambazo zinafaa kwa Tathmini yako,Répondez aux questions de l'enquête. Vous pouvez sélectionner les attributs pertinents pour votre évaluation,Valio ny fanontaniana ao amin'ny fanadihadiana. Mahazo misafidy ireo sokajy mifanandrify amin'ny fanombananao ianao.
pages.assessments.popup.step-4.title,The survey,Survei,La encuesta,A pesquisa,Utafiti huo,L'enquête,Ny fanadihadiana
pages.assessments.popup.step-6.text,"Invite collaborators to help you complete the Assessment, or share only as an observer","Undang kolaborator untuk membantu Anda menyelesaikan Penilaian, atau hanya berbagi sebagai pengamat",Invita a colaboradores para que te ayuden a completar la Evaluación o compártela solo como observador.,Convide colaboradores para ajudá-lo a concluir a Avaliação ou compartilhe apenas como observador,"Alika washiriki kukusaidia kukamilisha Tathmini, au ushiriki tu kama mwangalizi","Invitez des collaborateurs à vous aider à remplir l'évaluation, ou partagez-la uniquement en tant qu'observateur","Asao ny mpiara-miasa hanampy anao hamita ny fanombanana, na zarao aminy ny fanombanana ka ho mpanara-maso fotsiny izy."
pages.assessments.popup.step-5.text,"Text entered in the boxes in this tab will appear in your auto-generated PDF report. Use these fields to clearly summarize the key results of your Elinor assessment for your intended audience.These fields are optional, but if left blank, your report will contain minimal text.",,,,,,
pages.assessments.popup.step-5.title,Report Text,,,,,,
pages.assessments.popup.step-6.title,Collaborators,Kolaborator,Colaboradores,Contribuidores,Washiriki,Collaborateurs,Mpiara-miasa
pages.assessments.popup.step-7.text,"Once the Assessment is complete you can publish it, making it accessible from the public zone of the web","Setelah Penilaian selesai, Anda dapat mempublikasikannya, membuatnya dapat diakses dari zona umum web","Una vez completada la Evaluación podrás publicarla, haciéndola accesible desde la zona pública de la web.","Uma vez concluída a Avaliação, você poderá publicá-la, tornando-a acessível na zona pública da web","Mara baada ya Tathmini kukamilika unaweza kuichapisha, na kuifanya ipatikane kutoka kwa eneo la umma la wavuti","Une fois l'évaluation terminée, vous pouvez la publier, en la rendant accessible depuis la zone publique du web","Rehefa vita ny fanombanana, azonao atao ny mamoaka azy ka ho hita amin'ny faritra hoan'ny besinimaro ao amin'ny aterineto izany."
pages.assessments.popup.step-7.title,Publish,Publikasikan,Publicar,Publicar,Kuchapisha,Publier,Hamoaka
pages.assessments.popup.text,"Use the process below to create an assessment. You will need to provide information relating to the assessment, create or select a managed area and then complete the actual survey questions. Collaborators functionality enables you to add people to your assessment.","Gunakan proses di bawah ini untuk membuat penilaian. Anda akan perlu memberikan informasi yang berkaitan dengan penilaian, membuat atau memilih kawasan yang dikelola dan kemudian menyelesaikan pertanyaan survei sebenarnya. Fungsionalitas kolaborator memungkinkan Anda untuk menambahkan orang ke penilaian Anda.","Utilice el proceso siguiente para crear una evaluación. Deberá proporcionar información relacionada con la evaluación, crear o seleccionar un área administrada y luego completar las preguntas reales de la encuesta. La funcionalidad de colaboradores le permite agregar personas a su evaluación.","Use o processo abaixo para criar uma avaliação. Você precisará fornecer informações relacionadas à avaliação, criar ou selecionar uma área gerenciada e, em seguida, responder às perguntas da pesquisa propriamente dita. A funcionalidade Colaboradores permite adicionar pessoas à sua avaliação.","Tumia mchakato ulio hapa chini kuunda tathmini. Utahitaji kutoa maelezo yanayohusiana na tathmini, kuunda au kuchagua eneo linalosimamiwa na kisha ukamilishe maswali halisi ya uchunguzi. Utendaji wa washirika hukuwezesha kuongeza watu kwenye tathmini yako.","Utilisez le processus ci-dessous pour créer une évaluation. Vous devrez fournir des informations relatives à l'évaluation, créer ou sélectionner une zone sous gestion, puis répondre aux questions de l'enquête. La fonctionnalité Collaborateurs vous permet d'ajouter des personnes à votre évaluation.","Ampiasao ny dingana etsy ambany mba hamoronana fanombanana. Tokony hanome torohay momba ny fanombanana ianao, tokony hamorona na hisafidy faritra tantanana. Avy eo dia tokony hamaly ny fanontaniana ao amin'ny fanadihadiana. Ny sokajy Mpiara-miasa dia ahafahanao manampy olona ao anaty fanombanana."
pages.assessments.popup.title,How to create an Assessment,Bagaimana Membuat Penilaian,Cómo crear una evaluación,Como criar uma avaliação,Jinsi ya kuunda Tathmini,Comment créer une évaluation,Fomba famoronana fanombanana
pages.assessments.preparingToPublish,Preparing to publish,Mempersiapkan untuk dipublikasikan,Preparing to publish,Preparando para publicar,Inatayarishwa kuchapishwa,Préparation de la publication,Fanomanana ny famoahana
pages.assessments.published,Published,Dipublikasikan,Published,Publicado,Imechapishwa,Publié,Efa nivoaka
pages.assessments.readyToPublish,Ready to publish,Siap untuk dipublikasikan,Ready to publish,Pronto para publicar,Tayari kuchapishwa,Prêt à publier,Vonona ny hamoaka
pages.assessments.roles.admin,Admin,Admin,Admin,Administrador,Msimamizi,Admin,Mpitantana
pages.assessments.roles.contributor,Contributor,Kontributor,Contributor,Contribuidor,,Contributeur,Mpandray anjara
pages.assessments.roles.observer,Observer,Pengamat,Observer,Observador,Mtazamaji,Observateur,Mpanara-maso
pages.assessments.statuses.10,Published,Dipublikasikan,Publicado,Publicados,Imechapishwa,Publié,Efa nivoaka
pages.assessments.statuses.80,In Progress,Dalam Proses,En Progreso,Em Progresso,Inaendeshwa,,
pages.assessments.statuses.90,Open,Terbuka,Abierto,Abrir,Fungua,Ouvrir,Sokafana
pages.assessments.toCompleted,To Completed,Untuk Selesai,To Completed,Para Completar,Kupatikana,,
pages.assessments.uploadSurveyFile.errors.answer_save,error saving answers to database,kesalahan menyimpan jawaban ke basis data,error saving answers to database,erro ao salvar respostas no banco de dados,error saving answers to database,erreur lors de l'enregistrement des réponses dans la base de données,Nisy olana tamin'ny firaiketana ny valiny tao amin'ny tahiry angona
pages.assessments.uploadSurveyFile.errors.assessment_id_mismatch,assessment id {user_assessmment_id} in {cell} does not match requested assessment {assessment_id},id penilaian {user_assessmment_id} di {cell} tidak cocok dengan penilaian yang diminta {assessment_id},assessment id {user_assessmment_id} in {cell} does not match requested assessment {assessment_id},id de avaliação {user_assessmment_id} na {cell} não corresponde à avaliação solicitada {assessment_id},assessment id {user_assessmment_id} in {cell} does not match requested assessment {assessment_id},L'ID d'évaluation {utilisateur_évaluation_id} dans {cellule} ne correspond pas à l'évaluation demandée {évaluation_id},Tsy mifanaraka amin'ny laharana famantarana ny fanombanana {mpampiasa_fanombanana_laharana famantarana} ao amin'ny {Sela} ny fanombanana nangatahina {Fanombanana_laharana_famantarana}
pages.assessments.uploadSurveyFile.errors.detail,You are not allowed to perform this action,Anda tidak diizinkan melakukan tindakan ini,You are not allowed to perform this action,,You are not allowed to perform this action,Vous n'êtes pas autorisé(e) à effectuer cette action,Tsy manana alalana hanao ity hetsika ity ianao
pages.assessments.uploadSurveyFile.errors.file_too_large,uploaded file larger than {maximum_filesize},file yang diunggah lebih besar dari {maximum_filesize},uploaded file larger than {maximum_filesize},arquivo carregado maior que {maximum_filesize},uploaded file larger than {maximum_filesize},fichier téléversé supérieur à {taille_maximale},Haben'ny rakitra nampidirina mihoatra ny habe tokony ho izy {habe_mavesatra_indrindra}
pages.assessments.uploadSurveyFile.errors.invalid_answers,invalid answers,jawaban tidak valid,invalid answers,respostas inválidas,invalid answers,réponses invalides,Valiny tsy mety
pages.assessments.uploadSurveyFile.errors.invalid_choices,invalid choices in cells: {choice_error_cells},pilihan tidak valid di sel: {choice_error_cells},invalid choices in cells: {choice_error_cells},escolhas inválidas nas células: {choice_error_cells},invalid choices in cells: {choice_error_cells},Choix non valides dans les cellules : {choix_erreur_cellules},Safidy tsy mety ao amin'ny sela: {safidy_hadisoana_ sela}
pages.assessments.uploadSurveyFile.errors.invalid_file_load,invalid xlsx file,file xlsx tidak valid,invalid xlsx file,arquivo xlsx inválido,invalid xlsx file,Fichier xlsx non valide,Rakitra xlsx tsy azo ekena
pages.assessments.uploadSurveyFile.errors.invalid_header,no header found for sheet {sheetname},tidak ada header yang ditemukan untuk lembar {sheetname},no header found for sheet {sheetname},nenhum cabeçalho encontrado para a folha {sheetname},no header found for sheet {sheetname},Aucun en-tête trouvé pour la feuille {nom_de_la_feuille},Tsy hita ny lohasoratra ho an'ny takelaka '{anaran'ny_takelaka}
pages.assessments.uploadSurveyFile.errors.invalid_header_cells,invalid headers in cells: {header_error_cells},header tidak valid di sel: {header_error_cells},invalid headers in cells: {header_error_cells},cabeçalhos inválidos nas células: {header_error_cells},invalid headers in cells: {header_error_cells},En-têtes non valides dans les cellules : {en_tête_erreur_cellules},Lohasoratra tsy mety ao amin'ny sela: {Lohasoratra_tsy_mety_Sela}
pages.assessments.uploadSurveyFile.errors.invalid_questions,invalid question keys in cells: {question_error_cells},kunci pertanyaan tidak valid di sel: {question_error_cells},invalid question keys in cells: {question_error_cells},chaves de perguntas inválidas nas células: {question_error_cells},invalid question keys in cells: {question_error_cells},Touches de question non valides dans les cellules : {question_erreur_cellules},Tendry fanontaniana tsy mety ao amin'ny sela: {fanontaniana_hadisoana_sela}
pages.assessments.uploadSurveyFile.errors.invalid_sheet,invalid sheet,lembar tidak valid,invalid sheet,arquivo inválido,invalid sheet,Feuille invalide,Takelaka tsy mety
pages.assessments.uploadSurveyFile.errors.invalid_zip,invalid zip,zip tidak valid,invalid zip,zip inválido,invalid zip,zip invalide,zip tsy mety
pages.assessments.uploadSurveyFile.errors.missing_file,missing file,file hilang,missing file,arquivo faltando,missing file,Fichier manquant,Rakitra tsy hita
pages.assessments.uploadSurveyFile.errors.missing_sheet,missing sheet with name '{sheetname}',lembar yang hilang dengan nama '{sheetname}',missing sheet with name '{sheetname}',falta folha com o nome '{sheetname},missing sheet with name '{sheetname}',feuille manquante avec le nom '{nom_de_la_feuille}',Tsy hita ilay takelaka antsoina hoe '{anaran'ilay_takelaka}'
pages.assessments.uploadSurveyFile.errors.unsupported_file_type,file type not supported; supported types: {supported_mime_types},jenis file tidak didukung; jenis yang didukung: {supported_mime_types},file type not supported; supported types: {supported_mime_types},tipo de arquivo não suportado; tipos suportados: {supported_mime_types},file type not supported; supported types: {supported_mime_types},Type de fichier non pris en charge ; Types pris en charge : {type_supporté},Karazana rakitra tsy raisina an-tanana ; Karazana raisina an-tanana:{karazana_raisina_an_tanana}
pages.assessments.uploadSurveyFile.errors.unsupported_zip,"zip file contains more than one file, or is empty. Number of files in zip: {num_files}","file zip berisi lebih dari satu file, atau kosong. Jumlah file dalam zip: {num_files}","zip file contains more than one file, or is empty. Number of files in zip: {num_files}",arquivo zip contém mais de um arquivo ou está vazio. Número de arquivos no zip: {num_files},"zip file contains more than one file, or is empty. Number of files in zip: {num_files}",Le fichier zip contient plusieurs fichiers ou est vide. Nombre de fichiers en zip : {nombre_fichiers},Misy rakitra maromaro ao anatin'ilay rakitra zip na tsy misy rakitra ao. Isan'ny rakitra ao amin'ny zip: {isan'ny_rakitra}
pages.assessments.uploadSurveyFile.fileCorrectlyFormated,The file is correctly formatted,Struktur data benar dan xlsx siap untuk diimpor,The file is correctly formatted,O arquivo está formatado corretamente,The file is correctly formatted,Le fichier est correctement formaté,Voarafitra tsara ilay rakitra.
pages.assessments.uploadSurveyFile.fileCorrectlyFormatedText,The data structure is correct and the xlsx is ready to be imported,Struktur data sudah benar dan xlsx siap diimpor,The data structure is correct and the xlsx is ready to be imported,A estrutura de dados está correta e o xlsx está pronto para ser importado,The data structure is correct and the xlsx is ready to be imported,La structure des données est correcte et le xlsx est prêt à être importé,Marina ny rafitry ny angona ary efa vonona hampidirina ny rakitra xlsx
pages.assessments.uploadSurveyFile.filePlaceholder,Drag and drop de .xlsx file,Seret dan lepaskan file .xlsx,Drag and drop de .xlsx file,Arraste e solte o arquivo .xlsx,Drag and drop de .xlsx file,Glisser-déposer un fichier .xlsx,Hisintona sy handatsaka rakitra xlsx
pages.assessments.uploadSurveyFile.formatNotSupported,try again,coba lagi,try again,tentar novamente,try again,Réessayer,Hamerina indray
pages.assessments.uploadSurveyFile.help,"Please, upload the xlsx file for the survey in the exact same format that it was downloaded. No change can be done to the structure. If the upload fails. please review the format and make sure it is the same as the downloaded file.","Silakan, unggah file xlsx untuk survei dalam format yang sama persis dengan yang diunduh. Tidak ada perubahan yang dapat dilakukan pada struktur. Jika unggahan gagal, harap tinjau formatnya dan pastikan itu sama dengan file yang diunduh.","Please, upload the xlsx file for the survey in the exact same format that it was downloaded. No change can be done to the structure. If the upload fails. please review the format and make sure it is the same as the downloaded file.","Por favor, faça o upload do arquivo xlsx para a avaliação no mesmo formato em que foi baixado. Nenhuma alteração pode ser feita na estrutura. Se o upload falhar, revise o formato e certifique-se de que é o mesmo que o arquivo baixado.","Please, upload the xlsx file for the survey in the exact same format that it was downloaded. No change can be done to the structure. If the upload fails. please review the format and make sure it is the same as the downloaded file.","Veuillez téléverser le fichier xlsx de l'enquête dans le même format que celui dans lequel il a été téléchargé. Aucune modification ne peut être apportée à la structure. Si le téléchargement échoue, vérifiez le format et assurez-vous qu'il est le même que celui du fichier téléchargé.","Iangaviana ianao hampiditra indray ny rakitra xlsx amin'ilay rafitra nisintonana azy. Tsy azo ovaina ny firafitra. Raha tsy tanteraka ny fampidirana, dia ivereno jerena ny rafitra ary hamarina fa mitovy amin'ilay rakitra nisintonana izany."
pages.assessments.uploadSurveyFile.helpTitle,What files to Upload?,File apa yang harus Diunggah?,What files to Upload?,Quais arquivos carregar?,What files to Upload?,Quels fichiers téléverser?,Karazana rakitra tahaka ny ahoana no azo ampidirina?
pages.assessments.uploadSurveyFile.surveyFileErrorDescription,We are not able to import the xlsx you tried to upload. Please make sure that the format is correct. The structure of the xlsx need to be exactly the same one that was downloaded.,Kami tidak dapat mengimpor xlsx yang Anda coba unggah. Pastikan formatnya benar. Struktur xlsx harus sama dengan yang diunduh.,We are not able to import the xlsx you tried to upload. Please make sure that the format is correct. The structure of the xlsx need to be exactly the same one that was downloaded.,"Não conseguimos importar o xlsx que você tentou fazer upload. Por favor, certifique-se de que o formato está correto. A estrutura do xlsx deve ser exatamente a mesma que foi baixada.",We are not able to import the xlsx you tried to upload. Please make sure that the format is correct. The structure of the xlsx need to be exactly the same one that was downloaded.,Nous ne sommes pas en mesure d'importer le fichier xlsx que vous avez essayé de téléverser. Assurez-vous que le format est correct. La structure du xlsx doit être exactement la même que celle qui a été téléchargée.,Tsy afaka mampiditra ny rakitra xlsx nampidirinao izahay. Iangaviana ianao hanamarina fa ilay rafitra marina no nampiasainao. Tsy maintsy mitovy tanteraka amin'ilay rafitra nampidirinao voalohany ny firafitr'ilay xlsx.
pages.assessments.uploadSurveyFile.surveyFileErrorTitle,Sorry something went wrong,"Maaf, ada yang salah",Sorry something went wrong,"Desculpe, algo deu errado",Sorry something went wrong,"Désolé, une erreur s'est produite",Miala tsiny. Nisy fahadisoana nitranga.
pages.assessments.uploadSurveyFile.title,Upload survey file,Unggah file survei,Upload survey file,Fazer upload do arquivo de avaliação,Upload survey file,Téléverser le fichier d'enquête,Hampiditra ny rakitra fanadihadiana
pages.assessments.uploadSurveyFile.triggerButton,Select a file,Pilih file,Select a file,Selecionar um arquivo,Select a file,Sélectionner un fichier,Hisafidy rakitra iray
pages.assessments.uploadSurveyFile.tryAgainButton,try again,coba lagi,try again,tentar novamente,try again,Réessayer,Hamerina indray
pages.assessments.uploadSurveyFile.tryAgainText,If you want you can,"Jika Anda mau, Anda dapat",If you want you can,"Se você quiser, pode",If you want you can,"Si vous le souhaitez, vous pouvez",Raha tianao dia azonao atao
pages.assessments.uploadSurveyFile.uploadWarning,"Remember that if you accept, all the information of the survey online will be overwritten by the information on the xlsx","Ingat bahwa jika Anda menerima, semua informasi survei online akan ditimpa oleh informasi di xlsx","Remember that if you accept, all the information of the survey online will be overwritten by the information on the xlsx","Lembre-se de que, se você aceitar, todas as informações da avaliação online serão substituídas pelas informações do xlsx","Remember that if you accept, all the information of the survey online will be overwritten by the information on the xlsx","N'oubliez pas que si vous acceptez, toutes les informations de l'enquête en ligne seront écrasées par les informations sur le xlsx","Aza adino fa raha manaiky ianao, dia ho voafafan'ny angona ao amin'ny rakitra xlsx ny torohay rehetra ao amin'ny fanadihadiana natao tamin'ny aterineto."
pages.assessments.uploadSurveyFile.validatingFileFormat,Validating file format...,Memvalidasi format file...,Validating file format...,Validando formato de arquivo...,Validating file format...,Validation du format de fichier...,Manamarina ny firafitry ny rakitra...
pages.assessments.view.tabs.collaborators.description,Collaborators are persons that work with you on this assessment or need to have access to the data.,Kolaborator adalah orang-orang yang bekerja dengan Anda dalam penilaian ini atau perlu memiliki akses ke data.,Los colaboradores son personas que trabajan con usted en esta evaluación o necesitan tener acceso a los datos.,Colaboradores são pessoas que trabalham com você nesta avaliação ou que precisam ter acesso aos dados.,Washiriki ni watu wanaofanya kazi nawe kwenye tathmini hii au wanaohitaji kufikia data.,Les collaborateurs sont des personnes qui travaillent avec vous sur cette évaluation ou qui ont besoin d'avoir accès aux données.,Ny mpiara-miasa dia olona miasa miaraka aminao amin'ity fanombanana ity na mila miditra amin'ny angon-drakitra.
pages.assessments.view.tabs.collaborators.tabButton,Collaborators,Kolaborator,Colaboradores,Contribuidores,Washiriki,Collaborateurs,Mpiara-miasa
pages.assessments.view.tabs.collaborators.table.admin,Admin,Admin,Administrador,Administrador,Msimamizi,Admin,Mpitantana
pages.assessments.view.tabs.collaborators.table.contributor,Contributor,Kontributor,Contribuyente,Contribuidores,Mchangiaji,Contributeur,Mpandray anjara
pages.assessments.view.tabs.collaborators.table.name,Name,Nama,Nombre,Nome,Jina,Nom,Anarana
pages.assessments.view.tabs.collaborators.table.observer,Observer,Pengamat,Observador,Observador,Mtazamaji,Observateur,Mpanara-maso
pages.assessments.view.tabs.collaborators.title,Collaborators,Kolaborator,Colaboradores,Contribuidores,Washiriki,Collaborateurs,Mpiara-miasa
pages.assessments.view.tabs.info.buttons.managementPlanFile,Download,Unduh,Descargar,Download,Pakua,Télécharger,Sintony
pages.assessments.view.tabs.info.gender.female,Female,Wanita,Mujer,,Female,Femme,Vehivavy
pages.assessments.view.tabs.info.gender.male,Male,Pria,Hombre,,Male,Homme,Lehilahy
pages.assessments.view.tabs.info.gender.nonbinary,Non binary,Non biner,No binario,,Non binary,Non binaire," Tsy lahy, tsy vavy"
pages.assessments.view.tabs.info.gender.prefer_not_to_say,Prefer not to say,Lebih suka tidak mengatakan,Prefiero no decirlo,,Prefer not to say,Je préfère ne pas répondre,Aleoko tsy valiana
pages.assessments.view.tabs.info.gender.title,8. Gender representation of stakeholders consulted,8. Representasi gender dari pemangku kepentingan yang dikonsultasikan,8. Representación de género de los titulares de derechos y otros actores consultados,8. Representação de género dos titulares de direitos e outros atores consultadas,8. Uwakilishi wa jinsia wa wenye haki na wahusika wengine ulishauriwa,8. Représentation des sexes parmi les parties prenantes consultées,8. Fisoloan-tenan'ny lahy sy vavy tamin'ireo mpisehatra nakana hevitra
pages.assessments.view.tabs.info.gender.total,total by gender,total berdasarkan gender,Totales por género,total por gênero,jumla kwa jinsia,Total par sexe,Totaly isaky ny sokajin'olona lahy sy vavy
pages.assessments.view.tabs.info.labels.containedBy,Name of the related Managment Area,Nama Kawasan yang Dikelola terkait,Nombre de la área de gestión relacionada,Nome da Área de Manejo relacionada,Jina la Eneo la Usimamizi linalohusiana,Nom de la zone sous gestion concernée,Anaran'ny Faritra Tantana mifandraika
pages.assessments.view.tabs.info.labels.countries,Country/Countries where MA is located,Negara/Negara tempat KA berada,País/Países donde se encuentra área de gestión,País/países onde Área de Manejo está localizada,Nchi/Nchi ambako MA iko,Pays(s) où se trouve la zone sous gestion,Firenena misy ny faritra tantanana
pages.assessments.view.tabs.info.labels.dateEstablished,Date of formal establishment (if applicable),Tanggal pendirian formal (jika berlaku),Fecha de establecimiento formal (si corresponde),Data de estabelecimento formal (se aplicável),Tarehe ya kuanzishwa rasmi (ikiwa inafaa),Date d'établissement officiel (le cas échéant),Daty niorenana ara-dalàna (raha misy)
pages.assessments.view.tabs.info.labels.governanceType,MA Governance type (tick box),Jenis tata kelola KA (kotak centang),Tipo de gobernanza de la área de gestión (marcar casilla),Tipo de governança Área de Manejo (caixa de seleção),Aina ya Utawala wa MA (kisanduku cha tiki),Zone sous gestion Type de gouvernance (case à cocher),Karazana Fitantanana ny faritra tantanana (efitra safidiana)
pages.assessments.view.tabs.info.labels.managementAreaName,Name of Managment Area,Nama Kawasan yang Dikelola,Nombre de la área de gestión,Nome da Área de Manejo,Jina la eneo la usimamizi,Nom de la zone sous gestion,Anaran'ny faritra tantanana
pages.assessments.view.tabs.info.labels.managementAuthority,Name of management authority,Nama otoritas pengelolaan,Nombre de la autoridad administrativa,Nome da autoridade de gestão,Jina la mamlaka ya usimamizi,Nom de l'organe de gestion,Anaran'ny fahefana mpitantana
pages.assessments.view.tabs.info.labels.protectedArea,Name of larger PA/CA this focal area is contained within,Nama PA/CA yang lebih besar di mana area fokus ini terkandung,Nombre de la área protegida/conservada más grande dentro de la cual se incluye esta área focal,"Nome do PA/CA maior, esta área focal está contida em",Jina la PA/CA kubwa eneo hili la kuzingatia liko ndani,Nom de l'aire protégée/aire conservée plus large dans laquelle se trouve cette zone d'intervention,Anaran'ny Faritra Arovana/Faritra tandrovana lehibe kokoa izay misy an'ity faritra ifantohana ity.
